   No          kyori     Lkata     Rkata        RN          data
    1          4.770     2.060    58.500    0.0300          oudan/4.770.csv
    2          4.700     0.000    57.180    0.0300          oudan/4.700.csv
    3          4.520     3.538    66.376    0.0300          oudan/4.520.csv
    4          4.480     0.000    64.936    0.0300          oudan/4.480.csv
    5          4.400     3.053    62.496    0.0300          oudan/4.400.csv
    6          4.320     0.489    60.059    0.0300          oudan/4.320.csv
    7          4.240     0.000    64.458    0.0300          oudan/4.240.csv
    8          4.160     0.000    62.117    0.0300          oudan/4.160.csv
    9          4.080     0.000    63.850    0.0300          oudan/4.080.csv
   10          4.000     0.000    58.261    0.0300          oudan/4.000.csv
   11          3.920     2.641    63.696    0.0300          oudan/3.920.csv
   12          3.840     5.433    75.840    0.0300          oudan/3.840.csv
   13          3.760     7.499    73.061    0.0300          oudan/3.760.csv
   14          3.680     7.488    74.097    0.0300          oudan/3.680.csv
   15          3.600     2.016    89.432    0.0300          oudan/3.600.csv
   16          3.520     0.671    88.024    0.0300          oudan/3.520.csv
   17          3.440     0.000    81.752    0.0300          oudan/3.440.csv
   18          3.360     0.000    83.448    0.0300          oudan/3.360.csv
   19          3.280     4.668   136.130    0.0300          oudan/3.280.csv
   20          3.200     0.000   164.620    0.0300          oudan/3.200.csv
   21          3.120     0.000   166.485    0.0300          oudan/3.120.csv
   22          3.040     0.000   167.653    0.0300          oudan/3.040.csv
   23          2.960     0.000   147.551    0.0300          oudan/2.960.csv
   24          2.880     4.543   133.568    0.0300          oudan/2.880.csv
   25          2.800     3.859   125.901    0.0300          oudan/2.800.csv
   26          2.720     4.581   132.730    0.0300          oudan/2.720.csv
   27          2.640     1.263   122.432    0.0300          oudan/2.640.csv
   28          2.560     3.961   133.242    0.0300          oudan/2.560.csv
   29          2.480     0.000   127.717    0.0300          oudan/2.480.csv
   30          2.400     0.000   121.253    0.0300          oudan/2.400.csv
   31          2.320     0.000   112.369    0.0300          oudan/2.320.csv
   32          2.240     2.760   112.362    0.0300          oudan/2.240.csv
   33          2.160     0.000   111.451    0.0300          oudan/2.160.csv
   34          2.080     2.554   113.162    0.0300          oudan/2.080.csv
   35          2.000     1.974    88.566    0.0300          oudan/2.000.csv
   36          1.920     3.010    86.266    0.0300          oudan/1.920.csv
   37          1.760     0.000    82.570    0.0300          oudan/1.760.csv
   38          1.680     0.000    83.584    0.0300          oudan/1.680.csv
   39          1.600     0.000    72.388    0.0300          oudan/1.600.csv
   40          1.520     0.000    73.531    0.0300          oudan/1.520.csv
   41          1.440     0.000    44.447    0.0300          oudan/1.440.csv
   42          1.360     5.400    65.920    0.0300          oudan/1.360.csv
   43          1.280     4.074    55.453    0.0300          oudan/1.280.csv
   44          1.200     0.000    43.731    0.0300          oudan/1.200.csv
   45          1.120     4.463    55.482    0.0300          oudan/1.120.csv
   46          0.960     0.000    38.289    0.0300          oudan/0.960.csv
   47          0.880     5.659    58.824    0.0300          oudan/0.880.csv
   48          0.800     0.000    65.619    0.0300          oudan/0.800.csv
   49          0.720     2.001    39.613    0.0300          oudan/0.720.csv
   50          0.640     6.094    72.723    0.0300          oudan/0.640.csv
   51          0.560     2.889    69.316    0.0300          oudan/0.560.csv
   52          0.480     0.000    50.052    0.0300          oudan/0.480.csv
   53          0.400     0.000    60.219    0.0300          oudan/0.400.csv
   54          0.320     2.664    43.280    0.0300          oudan/0.320.csv
